Statement,Link,Date, Source, Label
“If you use the US Postal Service certified mail or registered mail^ they can do anything they want with those ballots." They “can burn your mail and they won't get in any trouble.”,https://www.politifact.com/factchecks/2022/oct/31/instagram-posts/no-postal-service-workers-cannot-do-anything-they/,ober 31^ 2022,Instagram posts,pants-fire
A photo shows David DePape filming the Jan. 6 Capitol attack.,https://www.politifact.com/factchecks/2022/oct/31/viral-image/photo-shows-depape-filming-nude-wedding-not-jan-6/,ober 31^ 2022,Viral image,false
California state Sen. Scott Wiener “doesn’t just want to sterilize California kids^ but sterilization of kids everywhere!”,https://www.politifact.com/factchecks/2022/oct/31/instagram-posts/no-california-state-sen-wieners-sb-107-doesnt-call/,ober 31^ 2022,Instagram posts,false
Hecklers chanted “f--- Joe Biden” during a Barack Obama speech.,https://www.politifact.com/factchecks/2022/oct/31/viral-image/altered-video-shows-anti-joe-biden-chant-during-ob/,ober 31^ 2022,Viral image,false
The Pelosis “are refusing to turn over surveillance video of their home.”,https://www.politifact.com/factchecks/2022/oct/31/viral-image/no-the-pelosis-arent-withholding-surveillance-vide/,ober 31^ 2022,Viral image,false
Video shows Marjorie Taylor Greene planted pipe bombs at Republican and Democratic party headquarters on Jan. 5^ 2021.,https://www.politifact.com/factchecks/2022/oct/31/instagram-posts/no-suspects-have-been-named-jan-6-related-pipe-bom/,ober 31^ 2022,Instagram posts,false
Video shows “military robots ready for war.”,https://www.politifact.com/factchecks/2022/oct/31/viral-image/parody-video-shows-military-robots-ready-for-war/,ober 31^ 2022,Viral image,false
“All Democrats in the Senate and House voted to cut $280 billion out of Medicare just two months ago.”,https://www.politifact.com/factchecks/2022/oct/31/rick-scott/rick-scott-repeats-false-claim-democrats-cut-280-b/,ober 31^ 2022,Rick Scott,false
Cheri Beasley “backs tax hikes — even on families making under $75^000.”,https://www.politifact.com/factchecks/2022/oct/31/senate-leadership-fund/gop-group-exaggerates-effect-inflation-reduction-a/,ober 31^ 2022,Senate Leadership Fund,barely-true
"Kim Reynolds doesn’t think nurses are educated.",https://www.politifact.com/factchecks/2022/oct/31/deidre-dejear/dejear-social-media-post-says-reynolds-thinks-nurs/,ober 31^ 2022,Deidre DeJear,false
"Deidre DeJear refused to stand for police.",https://www.politifact.com/factchecks/2022/oct/31/kim-reynolds/reynolds-campaign-ad-on-police-support-skips-dejea/,ober 31^ 2022,Kim Reynolds,half-true
Says Gov. Tony Evers would^ “allow the government to use red flag laws to confiscate your firearms without due process.”,https://www.politifact.com/factchecks/2022/oct/31/national-rifle-association/national-rifle-association-target-red-flag-law-pro/,ober 31^ 2022,National Rifle Association,barely-true
Rep. Tim Ryan “wanted to decriminalize fentanyl.”,https://www.politifact.com/factchecks/2022/oct/31/jd-vance/vance-wrongly-says-ryan-wanted-decriminalize-fenta/,ober 31^ 2022,J.D. Vance,pants-fire
Pennsylvania drop boxes were “pre-loaded” with ballots.,https://www.politifact.com/factchecks/2022/oct/28/instagram-posts/ballots-found-drop-box-voting-period-opened-were-l/,ober 28^ 2022,Instagram posts,half-true
Arizona Secretary of State Katie Hobbs “sent 6^000 wrong ballots to Republicans.”,https://www.politifact.com/factchecks/2022/oct/28/instagram-posts/arizona-ballot-error-did-not-target-republicans/,ober 28^ 2022,Instagram posts,false
McDonald's uses potatoes sprayed with a highly toxic pesticide called Monitor.,https://www.politifact.com/factchecks/2022/oct/28/instagram-posts/the-pesticide-monitor-hasnt-been-used-on-potatoes/,ober 28^ 2022,Instagram posts,false
Facebook changed its name because it is a “dead entity” whose assets were seized.,https://www.politifact.com/factchecks/2022/oct/28/viral-image/meta-sounds-like-the-hebrew-word-for-dead-but-the/,ober 28^ 2022,Viral image,false
“Kids are resistant to COVID as opposed to older people.”,https://www.politifact.com/factchecks/2022/oct/28/tom-horne/republican-arizona-school-chief-candidate-said-kid/,ober 28^ 2022,Tom Horne,half-true
"Crime is up under Governor DeSantis. Crime was down when I was your governor.",https://www.politifact.com/factchecks/2022/oct/28/charlie-crist/charlie-crists-crime-comparison-with-ron-desantis/,ober 28^ 2022,Charlie Crist,barely-true
Only Democratic cities take “‘days’ to count their votes” while “the rest of the country manages to get it done on election night.”,https://www.politifact.com/factchecks/2022/oct/28/ted-cruz/ted-cruzs-misleading-claim-that-only-democratic-ci/,ober 28^ 2022,Ted Cruz,barely-true
The price of gas is “down from over $5 when I took office.”,https://www.politifact.com/factchecks/2022/oct/28/joe-biden/gas-prices-hit-5-gallon-more-year-after-joe-biden/,ober 28^ 2022,Joe Biden,false
Blake Masters “wants to privatize” Social Security.,https://www.politifact.com/factchecks/2022/oct/28/mark-kelly/arizona-senate-race-mark-kelly-said-blake-masters/,ober 28^ 2022,Mark Kelly,barely-true
“It’s not that there is no evidence the election was stolen^ but that no court had the guts to HEAR the evidence. They dismissed the cases^ NOT the evidence.”,https://www.politifact.com/factchecks/2022/oct/28/instagram-posts/trump-campaigns-evidence-of-fraud-was-reviewed-bef/,ober 28^ 2022,Instagram posts,false
Former President Donald Trump issued an Oct. 27 statement saying he was told his Twitter account “will be back up and running on Monday.”,https://www.politifact.com/factchecks/2022/oct/28/viral-image/no-this-trump-statement-about-returning-to-twitter/,ober 28^ 2022,Viral image,false
The documentary “2^000 Mules proves” Democrats “cheated on the 2020 elections.”,https://www.politifact.com/factchecks/2022/oct/28/instagram-posts/instagram-post-falsely-says-2000-mules-proves-demo/,ober 28^ 2022,Instagram posts,false
A Phoenix TV station aired the election results more than a week early.,https://www.politifact.com/factchecks/2022/oct/28/instagram-posts/phoenix-tv-station-did-not-call-election-katie-hob/,ober 28^ 2022,Instagram posts,half-true
Connecticut ballot initiative on early voting would "remove the requirement of a certified seal from certain ballots.",https://www.politifact.com/factchecks/2022/oct/27/facebook-posts/facebook-post-makes-unfounded-claim-about-security/,ober 27^ 2022,Facebook posts,false
DJ Mighty Mouse died because of a COVID-19 booster vaccine.,https://www.politifact.com/factchecks/2022/oct/27/instagram-posts/claims-about-dj-mighty-mouse-death-made-without-ev/,ober 27^ 2022,Instagram posts,false
Photo shows a man who tortured his daughter’s rapist.,https://www.politifact.com/factchecks/2022/oct/27/viral-image/photo-of-protester-mischaracterized-as-showing-man/,ober 27^ 2022,Viral image,false
“PCR tests used to put luciferase in the brain.”,https://www.politifact.com/factchecks/2022/oct/27/viral-image/no-covid-19-pcr-tests-dont-put-luciferase-in-your/,ober 27^ 2022,Viral image,false
